Driver,TimerType,Instances,Duration,Intervals,FPS_Mean,FPS_StdDev,FPS_Min,FPS_Max,FPS_Median,FPS_P95,GC_Mean,GC_StdDev,GC_Min,GC_Max,GC_Median,GC_P95,CPU_Mean,CPU_StdDev,CPU_Min,CPU_Max,CPU_Median,CPU_P95
RX,DELAY,1,2,10,1758.27,52.93,1709.7,1845.4,1739,1845.4,2.5,0,2.5,2.5,2.5,2.5,0.88,0.13,0.8,1.1,0.8,1.1
RX,DELAY,10,2,10,1872.8,187.06,1704.5,2188.7,1799,2188.7,2.5,0,2.5,2.5,2.5,2.5,0.8,0,0.8,0.8,0.8,0.8
RX,DELAY,100,2,10,1052.9,33.96,1019.6,1096.2,1047.9,1096.2,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
RX,DELAY,500,2,10,1747.9,28.94,1701.8,1780.6,1754.6,1780.6,3,0,3,3,3,3,0.8,0,0.8,0.8,0.8,0.8
RX,DELAY,1000,2,10,1657.92,412.47,1019,2166.4,1723.15,2166.4,3.5,0,3.5,3.5,3.5,3.5,0.73,0.04,0.7,0.8,0.7,0.8
RX,INTERVAL,1,2,10,1015.08,30.62,964.3,1045.8,1025.1,1045.8,2.6,0,2.6,2.6,2.6,2.6,0.95,0.32,0.7,1.5,0.8,1.5
RX,INTERVAL,10,2,10,1412.28,607.92,362.2,1827.2,1729.85,1827.2,2.6,0,2.6,2.6,2.6,2.6,0.88,0.13,0.8,1.1,0.8,1.1
RX,INTERVAL,100,2,10,1681.7,114.68,1487,1772.4,1733.7,1772.4,2.8,0,2.8,2.8,2.8,2.8,0.75,0.09,0.6,0.8,0.8,0.8
RX,INTERVAL,500,2,10,1835.88,514.34,1088.5,2368.5,1943.25,2368.5,3.6,0,3.6,3.6,3.6,3.6,0.75,0.05,0.7,0.8,0.75,0.8
RX,INTERVAL,1000,2,10,1028.47,444.47,361.7,1607.7,1072.25,1607.7,4.85,0.05,4.8,4.9,4.85,4.9,0.8,0,0.8,0.8,0.8,0.8
RX,TIMER,1,2,10,1058.02,25.06,1019.2,1089,1061.95,1089,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
RX,TIMER,10,2,10,1704.7,37.69,1654.5,1754.7,1704.8,1754.7,2.6,0,2.6,2.6,2.6,2.6,0.75,0.05,0.7,0.8,0.75,0.8
RX,TIMER,100,2,10,1872.1,319.87,1537.3,2399.2,1775.95,2399.2,2.7,0,2.7,2.7,2.7,2.7,0.73,0.04,0.7,0.8,0.7,0.8
RX,TIMER,500,2,10,1056.13,13.36,1041.4,1077.8,1052.65,1077.8,3.1,0,3.1,3.1,3.1,3.1,0.95,0.21,0.8,1.3,0.85,1.3
RX,TIMER,1000,2,10,1715.55,42.61,1678.1,1787.9,1698.1,1787.9,3.6,0,3.6,3.6,3.6,3.6,0.78,0.04,0.7,0.8,0.8,0.8
RX,COUNTDOWN,1,2,10,1733.05,23.59,1702.1,1761.2,1734.45,1761.2,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
RX,COUNTDOWN,10,2,10,1373.1,546.11,1010.5,2317.5,1082.2,2317.5,2.6,0,2.6,2.6,2.6,2.6,0.73,0.08,0.6,0.8,0.75,0.8
RX,COUNTDOWN,100,2,10,888.28,308.59,357.6,1105.7,1044.9,1105.7,2.7,0,2.7,2.7,2.7,2.7,0.92,0.16,0.8,1.2,0.85,1.2
RX,COUNTDOWN,500,2,10,1764.07,455.41,1050,2189.2,1908.55,2189.2,3.1,0,3.1,3.1,3.1,3.1,0.83,0.04,0.8,0.9,0.8,0.9
RX,COUNTDOWN,1000,2,10,896.35,277.61,422,1121.2,1021.1,1121.2,3.6,0,3.6,3.6,3.6,3.6,0.68,0.13,0.5,0.8,0.7,0.8
COROUTINE,DELAY,1,2,10,1772.45,43.73,1722.3,1828.8,1769.35,1828.8,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
COROUTINE,DELAY,10,2,10,1796,533.76,1048.3,2436,1849.85,2436,2.6,0,2.6,2.6,2.6,2.6,0.8,0,0.8,0.8,0.8,0.8
